timestep,entropy,kl_divergence,mutual_information
0,2.903490321086331,0.49980547400984293,0.12126349489981325
1,2.894302173665806,0.42738846610236286,0.10124301225667565
2,2.870094340885893,0.18086444462406293,0.08596119648713274
3,2.860675659562343,0.15420463126179054,0.07197004984613486
4,2.856475511510446,0.5955471284333165,0.08398931683316802
5,2.8560354783953024,0.14171589322373102,0.06412252258877382
6,2.857398538134408,0.11422608605151058,0.05221145879786637
7,2.8369837641287488,0.11403613009072193,0.05042358297893612
8,2.8311902557261055,0.2873529311730852,0.053836604608533234
9,2.8501662670863537,0.4484623388056456,0.059979064246365565
10,2.807753108865792,0.13574896276019482,0.05473821535781065
11,2.802724023339378,0.0838755073354136,0.039132235819481886
12,2.7973417257284536,0.2785016047185458,0.05137222730749902
13,2.8273805568860793,0.09233409746952587,0.043918950400370305
14,2.8236603633051924,0.11927673722044672,0.056090176952721116
15,2.8170814560945105,0.07463877031023834,0.036169000892085856
16,2.836273668930394,0.057518483099125564,0.027547753249707485
17,2.864177326285157,0.04112221679736965,0.020211708954629204
18,2.8728610492119113,0.05706524789240322,0.026228564026892665
19,2.8928776308338087,0.07109540832796372,0.03308664578130993
20,2.900171904465454,0.06512355239076313,0.03025790159114261
21,2.908593128857796,0.05228537313310944,0.025555533022646904
22,2.923629463192551,0.06042324822492727,0.027667497285004172
23,2.932461056673656,0.08077241733220913,0.03596863071560863
24,2.9293420591860477,0.07742016421385177,0.035970774449197496
25,2.940861837952609,0.08025838375177753,0.03763450124246326
26,2.945033328489787,0.07200060207997,0.034842973535942345
27,2.943027706984278,0.10320850531775251,0.04785810996520712
28,2.9463119456797493,0.10632533351400868,0.04842593309625198
29,2.952568654039484,0.06525253161669121,0.03150626409120205
30,2.9523613841265695,0.04571876151149122,0.021309832776718718
31,2.9657327364337536,0.05497476888935975,0.026613362703671317
32,2.9607518225009652,0.08441035571954049,0.04002759492886376
33,2.956846789235022,0.07806034764453741,0.036708996166727736
34,2.959340709993377,0.07941699845980825,0.0364331710050223
35,2.959924952294812,0.08613955646429969,0.04040042441029312
36,2.9542784275702667,0.09077458437042514,0.042024678850782315
37,2.9591034932777127,0.07173452659957878,0.03436598257085954
38,2.94913081174651,0.08438992278842347,0.04051748019320289
39,2.940644993409579,0.07466708359006374,0.03704742144322948
40,2.928969851579626,0.08357695115596522,0.04105295698106315
41,2.9208785225722824,0.05905229987971453,0.028729951316432523
42,2.921645693301353,0.0392816592699552,0.019244433175590547
43,2.903361697577331,0.04344457102383451,0.021139862044729618
44,2.8933320194761407,0.05873330980985931,0.028885232557024354
45,2.882195423227186,0.07772785688608848,0.037357442029329224
46,2.8631719399591518,0.2893557379594731,0.041786298925405196
47,2.8517996884598005,0.04603300220411158,0.021713420062032363
48,2.848035737493535,0.05864958102334098,0.028169353832679045
49,2.8403158616752795,0.0966066895839739,0.041674712935809044
50,2.8365374952586917,0.25495546104249767,0.041759284548405606
51,2.847095831220507,0.08386243980923927,0.03882142883850448
52,2.8390929131258233,0.3037518607044321,0.05320309359847841
53,2.8338020042260563,0.27387226215115434,0.04816734462736205
54,2.8317777180588615,0.07948642117498106,0.03819971862716942
55,2.863450401434916,0.07539415755393325,0.036858208247124935
56,2.877040091027447,0.07328135857817147,0.035674499901368506
57,2.8669906301891506,0.07625428210434507,0.037416606212141934
58,2.8756642458124912,0.08060769974840691,0.039393664384533844
59,2.8374929634443427,0.06982922288238702,0.0339567784953807
60,2.8264945192353172,0.0706895987525886,0.03449725487112176
61,2.832486265959299,0.11101199529630214,0.050659538496874434
62,2.826795962794229,0.5422050886232702,0.05175619803759801
63,2.8058188539664632,0.22861555072152764,0.04263345233670557
64,2.7823213438716063,0.4126746955579571,0.056876846690909755
65,2.765478144291934,0.22026007963967223,0.05054892492775642
66,2.7556415102053817,0.1097167729506732,0.051245297601275164
67,2.756090705175458,0.2724659938738747,0.056144676166532514
68,2.7677201833675897,0.19118667934410302,0.03892935743918091
69,2.772155079853702,0.11329668053665684,0.0439733316042028
70,2.7814469955628693,0.3865942146384239,0.05456644592846649
71,2.7721581668514803,0.12929111031585822,0.05434274604881262
72,2.808236564118893,0.10536592778258452,0.049330618943722815
73,2.8057498912810983,0.29896691863355573,0.05574510566289814
74,2.84126047829008,0.07854018586290516,0.03635377720168398
75,2.8440655150828085,0.057815711674454574,0.027761378267868286
76,2.8652121186169666,0.09822153972990319,0.04221653814801685
77,2.832210288338543,0.24061847392293392,0.04362819756735781
78,2.8229780494268133,0.3090628727599177,0.04443195425242563
79,2.8110243714745695,0.3379893212766877,0.04336035545828909
80,2.818456173579648,0.12727305882361026,0.035503333833385886
81,2.8333610020171958,0.09388894723737212,0.02162090926548066
82,2.814526074203204,0.1791216528240828,0.0413788789508438
83,2.7954795177420992,0.1145416767900991,0.03736902265134301
84,2.835662430705822,0.1466992520519005,0.04219505647032884
85,2.8429902229753585,0.05156390831741339,0.025676749719865777
86,2.8434950679387905,0.2873253518866897,0.0536102747384557
87,2.821003526699164,0.20206171102527556,0.05200636923718216
88,2.8116863318828997,0.0938603705320874,0.040634200750278016
89,2.8159509818574504,0.18779903498979297,0.045923188817411864
90,2.7839826955404474,0.15834158178422364,0.036872195926632934
91,2.758431799288984,0.16161738744452794,0.0414083405390977
92,2.7428098688962805,0.33074610704220925,0.04859831392292735
93,2.7499899039432525,0.09280991835763835,0.0409279253002639
94,2.74200415152054,0.23613059330703245,0.04910387397168692
95,2.7479827992569126,0.39170401500694996,0.06376590262392345
96,2.758469327468152,0.31676961110975344,0.06060066808535303
97,2.759275037939952,0.2388576021004426,0.05875684995435693
98,2.755201144478992,0.2484235919798443,0.04722850028219239
99,2.717240216636959,0.1486205193322208,0.03337782060910466
100,2.7126389223915575,0.23115690284787815,0.04196528122607246
101,2.6689675748600354,0.06577279014446821,0.03124743122967133
102,2.6391738279350734,0.22843231921574988,0.04755634539820752
103,2.635742428472286,0.35510818599160304,0.06950466200207939
104,2.6692411479490694,0.1093314667303497,0.045793116318676
105,2.6288342738661257,0.2781709544251443,0.04543864742384418
106,2.6367568231012637,0.36294800329663535,0.050568785952794126
107,2.610520759455227,0.24986471198744034,0.04597505385184064
108,2.6546495129270227,0.2143607338542756,0.03424774399708297
109,2.667150465677304,0.07997513142810497,0.03230299738986564
110,2.6374941097852016,0.38628911443841346,0.05356774928321251
111,2.6016609702365554,0.3574712016898154,0.05720324861445092
112,2.5574158945541785,0.3224438935653555,0.053962152575587785
113,2.6132112515503874,0.49196280116964275,0.06256159188998445
114,2.6432633095921205,0.38596088255507316,0.05514741924761046
115,2.61329092737538,0.23194661608942624,0.04101357914319714
116,2.616410417694399,0.24976010547180405,0.04143860576914449
117,2.6467363488758204,0.14099332970906542,0.03306159627860117
118,2.637107686264669,0.18287329088656037,0.04887813856198853
119,2.639341753044971,0.15767425396071394,0.03832622878319536
120,2.5814138899033847,0.26905998984678653,0.04941965204867205
121,2.5585141954594457,0.4012634170678646,0.06207998164609663
122,2.5844286855846805,0.2596976713150535,0.052125117445885216
123,2.62772448862929,0.18591922547445205,0.044858518142774084
124,2.644427506057747,0.29454123149019185,0.05736928629487825
125,2.6938820560677934,0.2118794291029019,0.052246576030704484
126,2.672821479016611,0.11449455556227933,0.051897726044891845
127,2.6880718960661865,0.10558113378717339,0.05051722486077148
128,2.701730476480021,0.10186584528937959,0.04928123637430648
129,2.6970433660707376,0.09654343509760392,0.04680464328220624
130,2.6773647008297177,0.09682547219555968,0.0454926822362951
131,2.684692017845456,0.26683541549711726,0.05346709911105174
132,2.665060960959605,0.1654401775479982,0.06332900164582234
133,2.602977453679236,0.29320369889618414,0.0596066115731384
134,2.6109213660578416,0.27228412385576917,0.062217860151302595
135,2.547168930117435,0.48961290238064176,0.073878481669438
136,2.559732794884181,0.32122551365563345,0.059735671106624144
137,2.5573435230229085,0.4864330885903834,0.06438386308495425
138,2.5401118117533477,0.34017399680130544,0.05358424084053204
139,2.550833096581224,0.5576186291159001,0.07012352124607935
140,2.6299592309049187,0.43324129794289107,0.08096431834582551
141,2.551677452918028,0.4726512302371018,0.06637561181026497
142,2.5324547357061347,0.2471596177421739,0.06663381129431056
143,2.5460736700562823,0.5555927795431819,0.06628400590796946
144,2.5474835175003663,0.4727125930327867,0.06391897348591868
145,2.551359618154046,0.36423113092229875,0.07391796153022412
146,2.585522222151547,0.30621485786248104,0.05715848822659053
147,2.573335819422044,0.13488749082953522,0.05650904951064173
148,2.565820413842591,0.7017087817425449,0.07163843819922433
149,2.560946920426051,0.5733378902054415,0.08057068090799802
150,2.540249958657068,0.22454688476584705,0.06235530646381138
151,2.5742081014664286,0.5527462329193151,0.06518326642422201
152,2.5780075635686046,0.1362866280730256,0.05729952761347579
153,2.556343302692906,0.26639745924171604,0.06763393457346112
